PERIOD,SITE_REFERENCE,UPRN,LA_REFERENCE,EASTING,NORTHING,SAO_DESCRIPTION,PAO_DESCRIPTION,STREET_DESCRIPTION,LOCALITY_DESCRIPTION,TOWN_DESCRIPTION,POSTCODE,AUTHORITY,COUNTY,REGION,AREA,LANDTYPE,PREVIOUS_LAND_USE,CURRENT_LAND_USE,PLANNING_STATUS,PROPOSED_USE,HOUSING_SUITABILITY,MOST_SUITABLE_USE,EST_HOUSING_CAPACITY,HOUSING_DENSITY,OWNERSHIP,GENERAL_SITE_INFORMATION
2007,509000132,,01960,519674,191742,,EDGWARE BUS STATION,STATION ROAD,EDGWARE,,HA8,Barnet,G. London,London,1.529,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Transport tracks & ways,Allocated in Local Plan,Employment,Don't know,Employment,0,0,Other Public,
2007,509000133,,UDP - H16,519376,191601,,EDGWARE FORUMSIDE,STATION ROAD AND EDGWARE ROAD,EDGWARE,,HA8,Barnet,G. London,London,1.303,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Transport tracks & ways,Allocated in Local Plan,Mixed with Housing,Yes,Employment,50,38,Other Public,
2007,509000137,,UDP - H24,524533,196708,,LAND TO REAR OF 120 TO 204,HIGH STREET,CHIPPING BARNET,,EN4,Barnet,G. London,London,1.500,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Manufacturing,Allocated in Local Plan,Mixed with Housing,Yes,Employment,20,90,Private,
2007,509000138,,UDP - H25,524589,196627,,LAND TO REAR OF 98 TO 140,HIGH STREET,CHIPPING BARNET,,EN4,Barnet,G. London,London,0.895,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Manufacturing,Allocated in Local Plan,Mixed with Housing,Yes,Employment,16,90,Private,
2007,509000139,,UDP - 26,525189,196008,,LAND ADJACENT TO HIGH BARNET UNDERGROUND STATION,GREAT NORTH ROAD,HIGH BARNET,,EN4,Barnet,G. London,London,1.500,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Transport tracks & ways,Allocated in Local Plan,Mixed without Housing,No,Employment,0,0,Other Public,
2007,509000145,,UDP - 34,522296,187746,,124,WEST HENDON BROADWAY,WEST HENDON,,NW7,Barnet,G. London,London,0.300,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Offices,Allocated in Local Plan,Employment,Don't know,Employment,0,0,Private,Application for change of use on ground floor to retail A1 refused on 30/08/2005.
2007,509000152,,N05550H/02,526537,196101,,7 TO 9,APPROACH ROAD,,BARNET,EN4,Barnet,G. London,London,0.260,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Manufacturing,Detailed Planning Permission,Housing,Yes,Housing,15,58,Private,
2007,509000153,,C01535AQ/03,525199,190819,,401 TO 405,NETHER STREET,,BARNET,N3 1QG,Barnet,G. London,London,0.730,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Manufacturing,Outline Planning Permission,Mixed with Housing,Yes,Mixed,24,33,Private,24 residential units with B1 offices on ground floor.
2007,509000154,,C01467AQ/03,526994,188291,,HEINRICH STAHL HOUSE,THE BISHPS AVENUE,,BARNET,N2 0BW,Barnet,G. London,London,0.760,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,RESIDENTIAL,Detailed Planning Permission,Mixed with Housing,Yes,Housing,14,18,Private,Mixed use comprising residential plus leaisure
2007,509000158,,W00076T/06,522856,188770,,MOTOR REPAIR WORKSHOP,46 WATFORD WAY,,BARNET,NW4 3AT,Barnet,G. London,London,1.000,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Manufacturing,Detailed Planning Permission,Mixed without Housing,No,Mixed,0,0,Private,
2007,509000163,,,523583,196678,,QUEENS ROAD INDUSTRIAL ESTATE,QUEENS ROAD,,BARNET,EN5 4HE,Barnet,G. London,London,0.914,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,INDUSTRY AND BUSINESS,INDUSTRY & BUSINESS,Allocated in Local Plan,Employment,Don't know,Dont't know,0,0,Don't know,site allocated as a primary industrial estate but is adjacent to housing and school.
2007,512000003,,,551620,174570,,RIO TOWN HALL,CRAYFORD ROAD,,CRAYFORD,DA1 4ER,Bexley,G. London,London,0.720,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,RECREATION & LEISRE,With Draft Allocation,Mixed with Housing,Yes,Dont't know,25,35,Local Authority,
2007,512000008,,,551690,176200,,181 TO 813,NORTHEND ROAD,,ERITH,DA8 3QF,Bexley,G. London,London,0.200,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Dwellings,Allocated in Local Plan,Housing,Yes,Dont't know,12,60,Private,
2007,512000014,,,550810,178580,,SITES 2 AND 3,WEST STREET,,ERITH,DA8,Bexley,G. London,London,0.840,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Shops,Allocated in Local Plan,Mixed with Housing,Yes,Dont't know,37,44,Private,
2007,512000016,,,551035,178589,SITE 5 PHASE 2,OCEAN PARK,WEST STREET,,ERITH,DA8 1BL,Bexley,G. London,London,0.260,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Manufacturing,Detailed Planning Permission,Housing,Yes,Dont't know,20,77,Private,
2007,512000031,,C 1758 00/01660/FUL,552409,177779,,UNION YARD,MANOR ROAD,,ERITH,DA8 2AD,Bexley,G. London,London,0.380,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Storage,Detailed Planning Permission,Employment,No,Employment,0,0,Private,CURRENT USE STORAGE OF SCRAP CARS PROPOSED USE 7 LIGHT INDUSTRIAL UNITS
2007,512000032,,01/03153/OUT,548792,175260,BUTLERS YARD,181 TO 185,BROADWAY,,BEXLEYHEATH,DA6 7ER,Bexley,G. London,London,0.320,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Storage,Allocated in Local Plan,Mixed without Housing,Don't know,Mixed,0,0,Private,
2007,512000050,,R1075,549562,173130,82,WESTMINSTER HOUSE,NORTH CRAY ROAD,,BEXLEY,DA5 3NA,Bexley,G. London,London,0.170,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,RESIDENTIAL,PP subject to further legal agreement ,Housing,Yes,Housing,9,53,Private,EXTENSION AND CONVERSION TO 9 SELFCONTAINED FLATS
2007,512000052,,R1078 02/01694/OUT,549494,174713,,LAND ADJACENT 68 AND 70,GRAVEL HILL,,BEXLEYHEATH,DA6 7PT,Bexley,G. London,London,0.100,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Dwellings,Outline Planning Permission,Housing,Yes,Housing,1,10,Private,1 DETACHED BUNGALOW
2007,512000057,,C1496  C1894,551940,174787,,ACORN INDUSTRIAL ESTATE,CRAYFORD ROAD,,CRAYFORD,,Bexley,G. London,London,1.490,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Manufacturing,Outline Planning Permission,Employment,No,Employment,0,0,Private,
2007,512000059,,03/06085/FULM,547430,179649,,LAND BETWEEN BLEWBURY HOUSE AND,BINSEY WALK,TAVY BRIDGE,ABBEY WOOD,,Bexley,G. London,London,0.140,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Shops,Detailed Planning Permission,Other,No,Other,0,0,Other Public,Application for health centre.
2007,512000072,,03/03271/FUL,547920,172505,1 TO,5 NORMAN PARADE,MAYLANDS DRIVE,,SIDCUP,,Bexley,G. London,London,0.199,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Shops,Detailed Planning Permission,Housing,Yes,Housing,5,25,Private,
2007,512000081,,99/03069/OUT,551435,174692,,BT ISLAND SITE,CRAYFORD ROAD,,CRAYFORD,DA1,Bexley,G. London,London,1.300,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Storage,Detailed Planning Permission,Retail,Yes,Mixed,64,49,Private,
2007,512000082,,03/05495/FULM,546594,176396,,VICTORIA WORKS,LEIGH PLACE,,WELLING,DA16 3JD,Bexley,G. London,London,0.220,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Manufacturing,Manufacturing,Detailed Planning Permission,Housing,Yes,Housing,12,55,Private,
2007,512000083,,,547156,174304,,LAND RO 467 TO 471,BLACKFEN ROAD,,SIDCUP,DA15 9NP,Bexley,G. London,London,0.110,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Shops,Shops,Detailed Planning Permission,Housing,Yes,Housing,9,82,Private,
2007,512000084,,04/05230/FULM,546072,171368,,THE ELMS,CHISLEHURST ROAD,,SIDCUP,DA14 6BG,Bexley,G. London,London,0.100,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Dwellings,Dwellings,Detailed Planning Permission,Housing,Yes,Housing,10,100,Private,
2007,512000085,,05/01115/OUTM,551666,176523,,ST JOSEPH CHURCH,BRIDGE ROAD,,ERITH,DA8 2BX,Bexley,G. London,London,0.140,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Places of worship,Places of Worship,Detailed Planning Permission,Housing,Yes,Housing,14,100,Private,
2007,512000086,,04/01175/OUT,549718,173721,,RIVERSIDE WORKS,BOURNE ROAD,,BEXLEY,DA5 1LN,Bexley,G. London,London,0.280,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Manufacturing,Manufacturing,Outline Planning Permission,Housing,Yes,Housing,8,29,Private,
2007,512000087,,04/02454/FULM,549754,179289,,67 TO 71,STATION ROAD NORTH,,BELVEDERE,DA17 6JL,Bexley,G. London,London,0.100,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Dwellings,Dwellings,Detailed Planning Permission,Housing,Yes,Housing,15,150,Private,
2007,512000088,,04/03095/OUTM,545956,171770,,120,MAIN ROAD,,SIDCUP,DA14 6NG,Bexley,G. London,London,0.150,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Education,Education,Outline Planning Permission,Housing,Yes,Housing,12,80,Other Public,
2007,512000089,,04/03990/OUT,546532,174480,,LAND REAR OF 341 AND 343,BLACKFEN ROAD,,SIDCUP,DA15 9NJ,Bexley,G. London,London,0.134,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Dwellings,Dwellings,Outline Planning Permission,Housing,Yes,Housing,8,60,Private,
2007,515000006,,,518617,185348,,CHILTERN LINE CUTTING,PARK LANE,WEMBLEY,LONDON,,Brent,G. London,London,4.320,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Transport tracks & ways,Allocated in Local Plan,Retail,Yes,Mixed,324,75,Private,DRAFT PLANNING BRIEF - PROPOSED EXTENSION TO TOWN CENTRE. Major opportunity site and wildlife corridor site
2007,515000019,,202067330,520905,183441,BROWNELL CLIMATIC CONTROL SYSTEMS,28A,MORDAUNT ROAD,HARLESDEN,LONDON,NW10 8NU,Brent,G. London,London,0.360,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Dwellings,Detailed Planning Permission,Housing,Yes,Dont't know,30,83,Private,AFFORDABLE HOUSING RELEASE SITE. Full Planning permission granted for the demolition of buildings and redevelopment to provide 30 flats
2007,515000030,,202070567,521790,183451,BAILEY AND PARMAR,MANOR PARK WORKS,28 MANOR PARK ROAD,HARLESDEN,LONDON,NW10 4JJ,Brent,G. London,London,0.250,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Manufacturing,Allocated in Local Plan,Housing,Yes,Dont't know,19,75,Private,AFFORDABLE HOUSING RE;LEASE SITE
2007,515000454,,,518089,185101,,WEMBLEY MARKET,LANCELOT PARADE,WEMBLEY,LONDON,,Brent,G. London,London,0.550,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Shops,Allocated in Local Plan,Mixed with Housing,Yes,Dont't know,20,36,Private,TOWN CENTRE SITE - HOUSING SUITABLE AS SUBSIDIARY COMPONENT OF MIXED USE SITE. MAJOR OPPORTUNITY SITE WITHIN THE WEMBLEY REGENERATION AREA.
2007,515000455,25070,202076404,517868,185412,NATCO FOODS,CHOITRAM HOUSE OLD MARCON FACTORY,LANCELOT ROAD,WEMBLEY,LONDON,HA0 2BG,Brent,G. London,London,1.130,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Manufacturing,Detailed Planning Permission,Housing,Yes,Dont't know,85,75,Private,AFFORDABL;E HOUSING RELEASE SITE.
2007,515000456,,202043251,518128,185017,,PUBLIC CARPARK AT STATION GROVE,CURTIS LANE,WEMBLEY,LONDON,HA0,Brent,G. London,London,0.480,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Car parks,Allocated in Local Plan,Other,Don't know,Dont't know,0,0,Private,AIR RIGHTS POTENTIAL ABOVE RETAINED PUBLIC CAR-PARK.  503-511 HIGH ROAD HAS APPROVED DESIGN BRIEF FOR TOWN CENTRE USES. WITHIN WEMBLEY REGENERATION AREA - CAR PARK TO REMAIN
2007,515000471,25070,202076406,518029,185282,COLUMBUS DIXON CAR PARK,ADJACENT TO NO 62,LANCELOT ROAD,WEMBLEY,LONDON,HA0 2BN,Brent,G. London,London,0.250,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Derelict,Car parks,Allocated in Local Plan,Housing,Yes,Dont't know,19,75,Local Authority,
2007,515000511,,202127451,520811,184484,CENTRE FOR STAFF DEVELOPMENT,GWENNETH RICKERS BUILDING,242 BRENTFIELD ROAD,STONEBRIDGE,LONDON,NW10 8HE,Brent,G. London,London,0.520,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Offices,Allocated in Local Plan,Mixed with Housing,Yes,Dont't know,39,75,Local Authority,AFFORDABLE HOUSING RELEASE SITE. Site specific proposal in UDP (HP9): affordable housing and community facilities or reuse of building.
2007,515000532,,202132537,519954,185478,ADAMS BRIDGE BUSINESS CENTRE,6,SOUTHWAY,WEMBLEY,LONDON,HA9 0HU,Brent,G. London,London,0.780,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Offices,Allocated in Local Plan,Employment,No,Dont't know,0,0,Private,Located within the wembley regeneration area and part of the national stadium policy area.
2007,515000541,,202045688,519858,185690,,FURNISS ROE AND NICHOLLS,SECOND WAY,WEMBLEY,LONDON,HA9 0YJ,Brent,G. London,London,2.360,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Vacant buildings,Manufacturing,Allocated in Local Plan,Employment,No,Dont't know,0,0,Private,Strategic employment area. Within Wembley regenration area
2007,515000548,,202100060,519113,186006,9 STOREY OFFICE,DEXION HOUSE,EMPIRE WAY,WEMBLEY,LONDON,HA9 0EF,Brent,G. London,London,0.370,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Offices,Allocated in Local Plan,Employment,No,Dont't know,0,0,Private,Application pending (06/0462) to add 2 additional floors to the office building
2007,515000586,,202103755,522016,184902,,MP PORRAN AND SON,54 TO 68 DUDDEN HILL LANE,WILLESDEN,LONDON,NW10 1DG,Brent,G. London,London,0.810,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Manufacturing,Allocated in Local Plan,Employment,No,Employment,0,0,Private,
2007,515000611,,202125648,519266,186345,CAR PARK,WEMBLEY PARK STATION,BROOK AVENUE,WEMBLEY,LONDON,HA9,Brent,G. London,London,0.840,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Car parks,Allocated in Local Plan,Other,Don't know,Dont't know,0,0,Private,LOSS OF EXISTING STATION CAR PARKING WOULD NEED TO BE JUDGED ACCEPTABLE FOLLOWING TIA.  HENCE ONLY PART OF THE SITE MAY BE SUITABLE FOR HOUSING WITH COMPENSATORY PUBLIC TRANSPORT IMPROVEMENTS. E.G. FEEDER BUS SERVICES. Located in the wembley regenerat are
2007,515000626,,202105176,522296,185983,,DOLLIS HILL HOUSE,DOLLIS HILL LANE GLADSTONE PARK,CRICKLEWOOD,LONDON,NW2 6HT,Brent,G. London,London,0.460,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Vacant buildings,Education,Allocated in Local Plan,Other,No,Dont't know,0,0,Private,Grade 2 listed building. Site specific proposal in UDP: only uses acceptable on Metropolitan Open Land permitted. Any development scheme must incorporate community uses.
2007,515000650,,202086886,517826,185123,,ST JOHNS HALL GARDENS,GRAVENOR ROAD,WEMBLEY,LONDON,HA0 2AF,Brent,G. London,London,0.600,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Places of Worship,Allocated in Local Plan,Housing,Yes,Dont't know,20,33,Private,Housing release site. Requires specialist conservation architect. Retention of community use.
2007,515000661,,202114300,521530,184741,,CAR PARK,REAR OF 189 TO 203 CHURCH ROAD,WILLESDEN,LONDON,NW10 9EJ,Brent,G. London,London,0.380,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Car parks,Allocated in Local Plan,Mixed with Housing,Yes,Dont't know,29,76,Private,Major Opportunity site (MO1): mixed development and hosuing. Retention of trees and open space reduce car park.
2007,515000667,,202100043,519085,185864,,LAND PALACE OF ARTS,ENGINEERS WAY,WEMBLEY,LONDON,HA9 0ES,Brent,G. London,London,1.800,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Vacant land,Car parks,Allocated in Local Plan,Retail,No,Dont't know,0,0,Private,Major Opportunity site WEM27. Within national stadium policy area.
